Title,Type,Date,URL,Chapters,Tags,Notes,Status,Priority,Author,Project(s),Source Type,Year
A Travers les Théâtres,Article,,,Chapter 2,,,,,,Prospectus,Primary,1860
Art. 323. Titre et désignation - Portraits,Legal Document,,,Chapter 2,,,,,,Prospectus,Primary,1858
"Bulletin du Comité de la langue, de l'histoire et des arts de la France",Periodical,,,Chapter 1,,,,,,Prospectus,Primary,1852
Carvalho administration records,Administrative Document,,,Chapter 2,,,,,,Prospectus,Primary,1856
Chansons populaires,Article,,,Chapter 1,,,,,"Rathery, J.B.",Prospectus,Primary,1853
Chronique de Cadet Borniche,Book,,,Chapter 3,,,,,"Assolant, Alfred",Prospectus,Primary,1863
Chronique Parisienne,Article,,,Chapter 2,,,,,,Prospectus,Primary,1860
Circular to colporteurs of Hautes-Pyrénées,Government Document,,,Chapter 1,,,,,,Prospectus,Primary,1852
Coverage of Commerson case,Article,,,Chapter 2,,,,,,Prospectus,Primary,1858
Des théâtres de Bordeaux,Book,,,Chapter 3,,,,,"Léglise, dit Bazas",Prospectus,Primary,1863
"Échos du temps passé, transcrit avec Accompagnement de Piano",Book,,,Chapter 1,,,,,"Weckerlin, J.B.",Prospectus,Primary,1853
Gounod's Faust production costs,Administrative Document,,,Chapter 2,,,,,,Prospectus,Primary,1859
Ikelmer business commentary,Article,,,Chapter 2,,,,,,Prospectus,Primary,1859
Ikelmer publisher advertisement,Advertisement,,,Chapter 2,,,,,,Prospectus,Primary,1858
Instructions relatives aux poésies populaires de la France,Government Document,,,Chapter 1,,,,,Ministère de l'Instruction publique et des cultes,Prospectus,Primary,1853
Juridiction Commerciale: Tribunal de Commerce de la Seine,Article,,,Chapter 2,,,,,,Prospectus,Primary,1858
La Bohême galante,Article,,,Chapter 1,,,,,"Nerval, Gérard de",Prospectus,Primary,1852
La Chanson,Periodical,,,Chapter 3,,,,,,Prospectus,Primary,1862
La millième de 'Faust',Article,,,Chapter 2,,,,,"Pougin, Arthur",Prospectus,Primary,1894
Le catalogue de la maison Alfred Ikelmer,Article,,,Chapter 2,,,,,,Prospectus,Primary,1859
Le Moniteur Universel - 6 août 1852,Newspaper,,,Chapter 1,,,,,,Prospectus,Primary,1852
Musique Frelatée column,Periodical,,,Chapter 2,,,,,Commerson,Prospectus,Primary,1858
Musique Frelatée: Un quadrille de Strauss condamné,Article,,,Chapter 2,,,,,,Prospectus,Primary,1858
Ordonnance concernant les saltimbanques,Legal Document,,,Chapter 3,,,,,,Prospectus,Primary,1863
"Paris: ses organes, ses fonctions et sa vie",Book,,,Chapter 3,,,,,"Du Camp, Maxime",Prospectus,Primary,1873
"Revue Musicale: Faust, de M. Charles Gounod",Article,,,Chapter 2,,,,,"Scudo, P.",Prospectus,Primary,1859
Société de l'Univers musical,Article,,,Chapter 2,,,,,,Prospectus,Primary,1857
Société de l'Univers musical - Constitution définitive,Article,,,Chapter 2,,,,,,Prospectus,Primary,1857
Tribunal de commerce de la Seine proceedings,Legal Document,,,Chapter 2,,,,,,Prospectus,Primary,1858