Short Title,Case studies,Chapter(s),Original File Name,Section / Event Date,Author,Excerpt Type,Citation Status,Tags,Parent Volume
Borghese benefit announced,,Chapter 4 (1867) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,
Mutual‑aid society “La Famille” charity ball notice,,Chapter 4 (1867) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,
Garrison artillery benefit programme,,Chapter 4 (1867) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,
Borghese: post-event report,,Chapter 4 (1867) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,
Borghese: day-of program,,Chapter 4 (1867) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,
Borghese: pre-event notice,,Chapter 4 (1867) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,
Ikelmer catalogue,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,
,,Chapter 5 (1870) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%205%20(1870)%201f1a8fa33dc580ce95deff345bdd23f6.md),,,,,,,
Progress Report on Popular Poetry Collection (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Selection Criteria Refinement and Broader Instructions (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Popular Poetry Definition and Canadian Outreach (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Musical Dimension of Popular Poetry (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Official Instructions for Philology Section (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Medieval Popular Poetry Categories (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Oral vs. Written Popular Poetry Division (1853),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Classification System for Popular Poetry (1852),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Initial Implementation of Poetry Collection (1852),,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,,,,,1852-3_CLHAF_T1 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md)
Le Roi d'Yvetot/quand un tendron vient dans ces lieux,,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,
,,Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,
Histoire des livres populaires ou de la littérature du colportage… jusqu’à l’établissement de la commission d’examen des livres de colportage – 30 novembre 1852,Timbre de colportage (1852) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Case%20studies%201fca8fa33dc5802db431ebf4a5371615/Timbre%20de%20colportage%20(1852)%201ffa8fa33dc580a396f7fa4a311ef8c9.md),Chapter 1  (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,
Ikelmer bankrupcy report/,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,
Le droit: commerson report,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,
Verite pour tous: commerson report,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,
Victor Piarzot,,Chapter 2 (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,
REVUE DE L'ANNÉE 1862 PIÈCE en TROIS ACTES (La chanson),,Chapter 3 (1863) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),LC 1863.01.15.pdf,,,,,,
Du camp: mendiants,,Chapter 3 (1863) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,
Ordinance feb 63,,Chapter 3 (1863) (Prospectus%20main%20page%20(outdated)%201a0a8fa33dc58065b92efad903e03f16/Writing%20drafts%201eea8fa33dc580768fe9ef08bc4eee7a/Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,